field_size_x, field_size_y, cell_volume, cell_density, barrier_density, simulation_nr, number_of_cells, mean_speed, mean_xdir, mean_ydir, avg_group_velocity
300,300,200,1,0,0,3,0.2576306725572241,-0.029895440777937005,-0.022903730272596866,0.13175811262634804
300,300,200,1,0,1,3,0.24853889750289532,-0.06814741474147407,0.030267080439387212,0.15709453769238502
300,300,200,1,0,2,3,0.2793318776863556,0.034040182421227146,0.11552215588723055,0.16201665539184879
300,300,200,1,0,3,3,0.2768753948786212,0.05043465008627764,0.07109741313163484,0.18313071571578143
300,300,200,1,0,4,3,0.2658323569203372,0.10717670033670046,-0.05892252327193508,0.1903673167718677
300,300,200,1,0,5,3,0.270349585374053,-0.01877061676611014,-0.09551813880895485,0.15795665558515573
300,300,200,1,0,6,3,0.27657420032337404,0.03580607779224229,0.07990933625122726,0.16075176576863187
300,300,200,1,0,7,3,0.27027163088923184,0.05772625538020092,-0.1011786545512515,0.17760396141887655
300,300,200,1,0,8,3,0.27274991705313656,-0.039188834420027435,-0.027928927795218512,0.1388499780658928
300,300,200,1,0,9,3,0.27457928356994254,0.05574734436577869,0.10258554013473642,0.16748789352525603
300,300,200,1,2,0,3,0.25907801481043835,-0.04904462761547091,-0.061799267765296206,0.13876431146142462
300,300,200,1,2,1,3,0.26734723076361816,-0.02130085973273538,0.135092994913693,0.17622978148039758
300,300,200,1,2,2,3,0.27716340644451554,0.06907607843137245,0.0649966666666666,0.1697210594230778
300,300,200,1,2,3,3,0.2790282913760189,0.11164450980392149,-0.1111909803921569,0.19587801824073797
300,300,200,1,2,4,3,0.25890312757636696,0.0361188636627865,0.11382015773345344,0.17446137097192813
300,300,200,1,2,5,3,0.26004820709311,0.0019708235109226506,0.03174725742032326,0.10754115854598477
300,300,200,1,2,6,3,0.2818790635707286,0.10014961496149605,0.10128337539636319,0.1848798696604085
300,300,200,1,2,7,3,0.2596801673021831,0.025469920007804063,0.020370913081650652,0.1541980250683127
300,300,200,1,2,8,3,0.279321833373009,0.08696660645867554,0.0011872249589492303,0.16821913929020743
300,300,200,1,2,9,3,0.2552809663663242,0.015081505209344452,-0.012585934533195115,0.14628229135496093
300,300,200,1,3,0,0,NaN,NaN,NaN,NaN
300,300,200,1,3,1,0,NaN,NaN,NaN,NaN
300,300,200,1,3,2,0,NaN,NaN,NaN,NaN
300,300,200,1,3,3,0,NaN,NaN,NaN,NaN
300,300,200,1,3,4,0,NaN,NaN,NaN,NaN
300,300,200,1,3,5,0,NaN,NaN,NaN,NaN
300,300,200,1,3,6,0,NaN,NaN,NaN,NaN
300,300,200,1,3,7,0,NaN,NaN,NaN,NaN
300,300,200,1,3,8,0,NaN,NaN,NaN,NaN
300,300,200,1,3,9,0,NaN,NaN,NaN,NaN
300,300,200,1,4,0,3,0.2791315713533213,0.1263383572334406,0.06269466393522587,0.19087293046008855
300,300,200,1,4,1,3,0.26458693665489713,-0.06356650246305404,0.07884893267651887,0.18158274499173183
