field_size_x, field_size_y, cell_volume, cell_density, barrier_density, simulation_nr, number_of_cells, mean_speed, mean_xdir, mean_ydir, avg_group_velocity
300,300,200,1,0,0,3,0.14531928129446398,0.04635828119249177,0.05959847564715979,0.09933947079086684
300,300,200,1,0,1,3,0.13458738272491236,-0.03941727716727699,-0.035789102564102546,0.08868052196328888
300,300,200,1,0,2,3,0.14166538806898957,-0.035923695602643045,-0.002062322472848714,0.07537742669220267
300,300,200,1,0,3,3,0.13054867921667793,-0.003007754160334826,-0.014505351640354266,0.06725721873195654
300,300,200,1,0,4,3,0.1395411860097658,-0.021582856909172658,0.06348746370588483,0.09981865048435204
300,300,200,1,2,0,3,0.13395105858128212,0.0005354754788393324,0.0038023450191643046,0.06593106838806298
300,300,200,1,2,1,3,0.13407574583099055,0.006404170683118223,-0.0567120806094492,0.08849708865274862
300,300,200,1,2,2,3,0.14684175533049873,-0.03501538666012365,0.008469057988794954,0.07606136219199447
300,300,200,1,2,3,3,0.13806335621914007,-0.04629166666666675,-0.017213675213675176,0.08741616166515374
300,300,200,1,2,4,3,0.14860613137221337,-0.03660632642211584,0.014516807753649823,0.08184129427995535
300,300,200,1,3,0,0,NaN,NaN,NaN,NaN
300,300,200,1,3,1,0,NaN,NaN,NaN,NaN
300,300,200,1,3,2,0,NaN,NaN,NaN,NaN
300,300,200,1,3,3,0,NaN,NaN,NaN,NaN
300,300,200,1,3,4,0,NaN,NaN,NaN,NaN
300,300,200,1,4,0,3,0.14323406982993686,0.07434297924297922,-0.024527197802197927,0.101889850948508
300,300,200,1,4,1,3,0.13985369195014022,0.014828168322905174,-0.052113194700036794,0.0918593976765436
300,300,200,1,4,2,3,0.14386162569279703,0.00937293992557154,-0.07630191592033694,0.1028973849512898
300,300,200,1,4,3,3,0.1267077266430318,0.026321905602878472,-0.06171349542223341,0.09436787959691202
300,300,200,1,4,4,3,0.13965130833647868,-0.014581682206682335,0.043583569208569185,0.08113617858528857
300,300,200,1,5,0,0,NaN,NaN,NaN,NaN
300,300,200,1,5,1,0,NaN,NaN,NaN,NaN
300,300,200,1,5,2,0,NaN,NaN,NaN,NaN
300,300,200,1,5,3,0,NaN,NaN,NaN,NaN
300,300,200,1,5,4,0,NaN,NaN,NaN,NaN
300,300,200,1,6,0,3,0.14490001749304393,-0.06528949894710744,-0.0264664932491018,0.09967565375594559
300,300,200,1,6,1,3,0.13549247917954083,0.03886203544558166,-0.004792546184183821,0.0807202462602082
300,300,200,1,6,2,3,0.13859910596503883,-0.022889441436180533,-0.010975371609067301,0.07530500835680368
300,300,200,1,6,3,3,0.1438300221058906,0.023533679465956844,0.045630889308302704,0.09033095996555104
300,300,200,1,6,4,3,0.12246238526019425,0.028848586552019093,-0.02156943038316022,0.08203510755166414
300,300,200,1,7,0,0,NaN,NaN,NaN,NaN
300,300,200,1,7,1,0,NaN,NaN,NaN,NaN
300,300,200,1,7,2,0,NaN,NaN,NaN,NaN
300,300,200,1,7,3,0,NaN,NaN,NaN,NaN
300,300,200,1,7,4,0,NaN,NaN,NaN,NaN
300,300,200,1,8,0,3,0.1358303838952426,-0.022270140678035347,-0.006774115504378601,0.07417557702750976
300,300,200,1,8,1,3,0.1386016144427209,0.00955128205128202,-0.008737179487179463,0.07458499788566308
